X,Y,SHAPE_area,Proj_nam,MAL,DevName,DevAddy,Park_type,User_Group,20171127_Respondent (First+ Last),20171127_Gensler Revised Parking Spots,20171127_Parking
-71.07467085,42.35128529,84921.84315,501 Boylston Street,501 Boylston St,501 Boylston Street Property LLC,"One Federal Street, Boston. MA 02110",valet,,Carmen Schweizer,114,Below Grade
-71.06470389,42.36392555,360057.6469,LONGFELLOW GARAGE,50 Staniford Street,"ERP Operating Limited Partnership, An Affiliate of Equity Residential","1953 Gallows Road, Suite 340, Vienna, Virginia 22182",Self-park,Residents/general public,Carmen Schweizer,490,Below grade (no structure on top)
-71.06796843,42.33593935,207869.2342,BIOSQUARE II,600 Albany St,"BioSquare Project, Phase II, c/o University Associates, LP","280 Summer Street, Boston, MA 02210",Self,,Carmen Schweizer,1461,Stand-alone parking 
-71.06611945,42.36714241,97649.10682,SHERIFF PARKING LOT,0 Nashua St,,,,,Carmen Schweizer,38,Surface Parking
-71.06534099,42.34202768,45721.67281,SAM STONE LOT,478-498 Harrison Ave,,,,,Carmen Schweizer,130,Surface Parking
-71.07083806,42.34117565,13015.28054,PELHAM ST LOT,1421-1431 Washington St,,,,,Carmen Schweizer,20,Surface Parking
-71.06119148,42.34882719,16971.38241,CARLS PARK & GO,90 Tyler St,"Chinese Consolidated Benevolent Association of New England, Inc","90 Tyler Street, Boston, MA 02111",,"employees, staff, program participants",Carmen Schweizer,11,Surface Parking
-71.07069408,42.33488325,55569.08348,624-710 Albany,710 Albany St,,,Self,,Carmen Schweizer,2734,Stand-alone parking 
-71.07775914,42.34715426,362020.2773,COPLEY PLACE GARAGE,16 Harcourt St,,,,,Carmen Schweizer,1602,Below Grade
-71.06492659,42.36784638,90918.0394,Spaulding Rehab,125 Nashua St,THE SPAULDING REHABILITATION HOSPITAL CORPORATION,"125 Nashua Street, Boston, MA 02114",Self,,Carmen Schweizer,203,Surface Parking
-71.07029684,42.33834009,34251.38242,,690-700 Harrison Ave,"700 Harrison LLC, c/o Mitchell Properties, LLC","20 Park Plaza, Suite 441, Boston, MA 02116",,,Carmen Schweizer,160,Surface Parking
-71.06812351,42.34951735,6977.389127,45 SEAMAN'S HOUSE,45 Church St,,,,,Carmen Schweizer,9,Below Grade
-71.06268401,42.34361817,54748.50667,,275 Albany St,,,,,Carmen Schweizer,155,Below Grade
-71.06813437,42.33847936,23358.59173,DUPONT LOT C,114-122 E Dedham St,,,,,Carmen Schweizer,140,Surface Parking
-71.08346125,42.34352314,61386.79741,MIDTOWN MOTOR INN GARAGE,200-220 Huntington Ave,,,,,Carmen Schweizer,125,Below Grade
-71.06657958,42.34449232,23101.92586,STANHOPE LOT,194-200 Shawmut Ave,"Stanhope Inc,","76 Seattle Street, Allston, MA 02134",,General public,Carmen Schweizer,89,Surface Parking
-71.06463805,42.34894212,81058.73953,DON BOSCO PARKING LOT,821-831 Washington St,CJ Washington Street LLc,,,"Hotel guests, visitors and employees",Carmen Schweizer,58,Below Grade
-71.06409146,42.34602963,78955.98803,,,,,self,,Kevin Kusina,300,Stand-alone parking 
-71.06885707,42.33913417,20625.88378,DUPONT LOT A,E DEDHAM ST,,,,,Carmen Schweizer,15,Surface Parking
-71.06956459,42.34838732,2793.737692,CORTES ST LOT,0 Arlington St,,,,,Carmen Schweizer,14,Surface Parking
-71.0663172,42.35021332,11447.76844,Nstar Lot,80-84 Warrenton St,NSTAR c/o Harry Collings,"10 Derne Street, Boston, MA 02114",,"Lessees, employees, patrons, customers, clients, patients, and guests",Carmen Schweizer,21,Surface Parking
-71.05798582,42.36469665,1756.691569,JOE TECCE LOT,61 N Washington St,,,,,Carmen Schweizer,25,Surface Parking
-71.06945678,42.36635825,60540.95078,MDC LOT,4 Charles River Dm,,,,,Carmen Schweizer,63,Stand-alone parking 
-71.07105016,42.36017561,11850.31235,CHARLES ST GARAGE,144-162 Charles St,,,,,Carmen Schweizer,135,Stand-alone parking attached to side of building
-71.0648514,42.3433574,9212.831996,DOVER RESIDENCES,40 FAY ST,,,self,,Carmen Schweizer,188,Below Grade
-71.06482879,42.34937188,17789.12003,TREMONT ST LOT,290 Tremont St,,,,,Carmen Schweizer,73,Below Grade
-71.06178821,42.34532847,4745.807576,ITOA LOT,217 Albany St,,,,,Carmen Schweizer,20,Surface Parking
-71.06368745,42.34392793,14398.6376,QUINZANI LOT,380 Harrison Ave,,,,,Carmen Schweizer,10,Surface Parking
-71.0549468,42.36096157,49913.29073,CLINTON ST GARAGE,20 Clinton St,"James F. Sullivan, Trustee, DS Parking Trust","200 State Street, Boston, MA 02109",,General public,Carmen Schweizer,698,Stand-alone parking 
-71.06692457,42.34687693,59654.85333,HERALD ST GARAGE,120 Herald St,,,,,Carmen Schweizer,411,Stand-alone parking 
-71.06563831,42.35001191,21560.94162,TREMONT HOUSE HOTEL LOT,271-279 Tremont St,,,,,Carmen Schweizer,35,Surface Parking
-71.06616927,42.34998932,5322.288803,WARRENTON ST LOT,74 Warrenton St,,,,,Carmen Schweizer,36,Below Grade
-71.0644361,42.34514828,87419.15185,GRAYBAR ELEC LOT,345 Harrison Ave,,,,,Carmen Schweizer,64,Surface Parking
-71.06797238,42.34614025,208641.8199,CASTLE SQUARE,2 Paul Pl,,,,,Carmen Schweizer,117,Stand-alone parking 
-71.0748194,42.34191724,13024.14604,TAINO TOWER CONDO,143 W Brookline St,"Mr. Roger Herzog, Taino Tower Development Corporation","405 Shawmut Avenue, Boston, MA 02118",,Tenants and employees,Carmen Schweizer,21,Below Grade
-71.06909892,42.33566862,39463.95502,Biosquare Parcel E,0 Albany St,"Biosquare Realty Trust, Boston University Medical Campus, c/o Office of Fin","715 Albany Street, Boston, MA 02218",,"Lessees, employees, patrons, customers, clients, patients, and guests",Carmen Schweizer,1000,Stand-alone parking 
-71.0580275,42.34874902,259952.678,MBTA/P&B EMPLOYEE LOT,135 Kneeland St,,,,,Carmen Schweizer,169,Surface Parking
-71.07070318,42.34494936,64167.8989,Boston Center for the Arts,505 Tremont St,,,Self,,Carmen Schweizer,350,Below Grade
